vy:0,vw:0,vy_off:0,vw_off:-0.103627,pf:0,preal:0,dy:-3,dy2:-3
vy:-0.05,vw:0.0349066,vy_off:-0.05,vw_off:-0.0687204,pf:0.572958,preal:0.1,dy:-2.99831,dy2:-2.99734
vy:-0.1,vw:0.0698132,vy_off:-0.1,vw_off:-0.0338138,pf:0.572958,preal:0.3,dy:-2.99292,dy2:-2.99305
vy:-0.15,vw:0.10472,vy_off:-0.15,vw_off:0.00109276,pf:1.14592,preal:0.6,dy:-2.98669,dy2:-2.98578
vy:-0.2,vw:0.139626,vy_off:-0.2,vw_off:0.0359993,pf:1.14592,preal:1,dy:-2.97605,dy2:-2.97617
vy:-0.25,vw:0.124194,vy_off:-0.25,vw_off:0.0205674,pf:1.71887,preal:1.35579,dy:-2.96413,dy2:-2.96362
vy:-0.3,vw:0.159101,vy_off:-0.3,vw_off:0.055474,pf:1.71887,preal:1.81158,dy:-2.94847,dy2:-2.94838
vy:-0.35,vw:0.124194,vy_off:-0.35,vw_off:0.0205674,pf:2.29183,preal:2.16737,dy:-2.93055,dy2:-2.93041
vy:-0.4,vw:0.123994,vy_off:-0.4,vw_off:0.0203669,pf:2.29183,preal:2.52259,dy:-2.91011,dy2:-2.90981
vy:-0.45,vw:0.0890873,vy_off:-0.45,vw_off:-0.0145397,pf:2.86479,preal:2.7778,dy:-2.88702,dy2:-2.88695
vy:-0.5,vw:0.123994,vy_off:-0.5,vw_off:0.0203669,pf:2.86479,preal:3.13302,dy:-2.86169,dy2:-2.86125
vy:-0.55,vw:0.0890873,vy_off:-0.55,vw_off:-0.0145397,pf:3.43775,preal:3.38824,dy:-2.83352,dy2:-2.8335
vy:-0.6,vw:0.118058,vy_off:-0.6,vw_off:0.0144306,pf:3.43775,preal:3.72645,dy:-2.80333,dy2:-2.80275
vy:-0.65,vw:0.083151,vy_off:-0.65,vw_off:-0.020476,pf:4.0107,preal:3.96466,dy:-2.77021,dy2:-2.77021
vy:-0.7,vw:0.118058,vy_off:-0.7,vw_off:0.0144306,pf:4.58366,preal:4.30287,dy:-2.73512,dy2:-2.7345
vy:-0.75,vw:0.152964,vy_off:-0.75,vw_off:0.0493372,pf:4.58366,preal:4.74108,dy:-2.69663,dy2:-2.69659
vy:-0.8,vw:0.118058,vy_off:-0.8,vw_off:0.0144306,pf:5.15662,preal:5.07929,dy:-2.65573,dy2:-2.65558
vy:-0.85,vw:0.115822,vy_off:-0.85,vw_off:0.012195,pf:5.15662,preal:5.41109,dy:-2.61257,dy2:-2.61242
vy:-0.9,vw:0.0809154,vy_off:-0.9,vw_off:-0.0227116,pf:5.72958,preal:5.6429,dy:-2.56679,dy2:-2.56667
vy:-0.95,vw:0.115822,vy_off:-0.95,vw_off:0.012195,pf:5.72958,preal:5.9747,dy:-2.51878,dy2:-2.51853
vy:-1,vw:0.0809154,vy_off:-1,vw_off:-0.0227116,pf:6.30254,preal:6.20651,dy:-2.46814,dy2:-2.46804
vy:-1.05,vw:0.115822,vy_off:-1.05,vw_off:0.012195,pf:6.30254,preal:6.53832,dy:-2.41527,dy2:-2.41493
vy:-1.1,vw:0.0809154,vy_off:-1.1,vw_off:-0.0227116,pf:6.87549,preal:6.77012,dy:-2.35978,dy2:-2.35972
vy:-1.15,vw:0.115822,vy_off:-1.15,vw_off:0.012195,pf:6.87549,preal:7.10193,dy:-2.30206,dy2:-2.30163
vy:-1.2,vw:0.0809154,vy_off:-1.2,vw_off:-0.0227116,pf:7.44845,preal:7.33373,dy:-2.24172,dy2:-2.24171
vy:-1.25,vw:0.115822,vy_off:-1.25,vw_off:0.012195,pf:8.02141,preal:7.66554,dy:-2.17946,dy2:-2.17869
vy:-1.3,vw:0.150729,vy_off:-1.3,vw_off:0.0471016,pf:8.02141,preal:8.09734,dy:-2.11352,dy2:-2.11349
vy:-1.35,vw:0.115822,vy_off:-1.35,vw_off:0.012195,pf:8.59437,preal:8.42915,dy:-2.04555,dy2:-2.04526
vy:-1.4,vw:0.134872,vy_off:-1.4,vw_off:0.0312448,pf:8.59437,preal:8.81553,dy:-1.97486,dy2:-1.97469
vy:-1.45,vw:0.0999652,vy_off:-1.45,vw_off:-0.00366182,pf:9.16732,preal:9.10191,dy:-1.90157,dy2:-1.90149
vy:-1.5,vw:0.118363,vy_off:-1.5,vw_off:0.014736,pf:9.16732,preal:9.44099,dy:-1.82613,dy2:-1.82578
vy:-1.55,vw:0.0834564,vy_off:-1.55,vw_off:-0.0201706,pf:9.74028,preal:9.68008,dy:-1.74792,dy2:-1.74787
vy:-1.6,vw:0.118363,vy_off:-1.6,vw_off:0.014736,pf:9.74028,preal:10.0192,dy:-1.66766,dy2:-1.66714
vy:-1.65,vw:0.0834564,vy_off:-1.65,vw_off:-0.0201706,pf:10.3132,preal:10.2582,dy:-1.58456,dy2:-1.58455
vy:-1.7,vw:0.118363,vy_off:-1.7,vw_off:0.014736,pf:10.8862,preal:10.5973,dy:-1.49951,dy2:-1.49891
vy:-1.75,vw:0.15327,vy_off:-1.75,vw_off:0.0496426,pf:10.8862,preal:11.0364,dy:-1.41108,dy2:-1.41102
vy:-1.8,vw:0.118363,vy_off:-1.8,vw_off:0.014736,pf:11.4592,preal:11.3755,dy:-1.32032,dy2:-1.32019
vy:-1.85,vw:0.117062,vy_off:-1.85,vw_off:0.0134351,pf:11.4592,preal:11.7109,dy:-1.2273,dy2:-1.22703
vy:-1.9,vw:0.0821555,vy_off:-1.9,vw_off:-0.0214715,pf:12.0321,preal:11.9462,dy:-1.13165,dy2:-1.13158
vy:-1.95,vw:0.117062,vy_off:-1.95,vw_off:0.0134351,pf:12.0321,preal:12.2816,dy:-1.03385,dy2:-1.03342
vy:-2,vw:0.0821555,vy_off:-2,vw_off:-0.0214715,pf:12.6051,preal:12.5169,dy:-0.933372,dy2:-0.933358
vy:-1.95,vw:0.117062,vy_off:-1.95,vw_off:0.0134351,pf:13.178,preal:12.8523,dy:-0.835979,dy2:-0.835319
vy:-1.9,vw:0.151969,vy_off:-1.9,vw_off:0.0483416,pf:13.178,preal:13.2877,dy:-0.740091,dy2:-0.740032
vy:-1.85,vw:0.117062,vy_off:-1.85,vw_off:0.0134351,pf:13.751,preal:13.623,dy:-0.647062,dy2:-0.646894
vy:-1.8,vw:0.126718,vy_off:-1.8,vw_off:0.0230911,pf:13.751,preal:13.986,dy:-0.556577,dy2:-0.556279
vy:-1.75,vw:0.0918115,vy_off:-1.75,vw_off:-0.0118155,pf:14.3239,preal:14.2491,dy:-0.468476,dy2:-0.468435
vy:-1.7,vw:0.122621,vy_off:-1.7,vw_off:0.0189942,pf:14.3239,preal:14.6003,dy:-0.383277,dy2:-0.382713
vy:-1.65,vw:0.0877146,vy_off:-1.65,vw_off:-0.0159124,pf:14.8969,preal:14.8516,dy:-0.30023,dy2:-0.300241
vy:-1.6,vw:0.117554,vy_off:-1.6,vw_off:0.0139269,pf:15.4699,preal:15.1884,dy:-0.220288,dy2:-0.219856
vy:-1.55,vw:0.152461,vy_off:-1.55,vw_off:0.0488335,pf:15.4699,preal:15.6252,dy:-0.142115,dy2:-0.141949
vy:-1.5,vw:0.117554,vy_off:-1.5,vw_off:0.0139269,pf:16.0428,preal:15.9619,dy:-0.066574,dy2:-0.0665176
vy:-1.45,vw:0.11671,vy_off:-1.45,vw_off:0.0130828,pf:16.0428,preal:16.2963,dy:0.0061599,dy2:0.00664524
vy:-1.4,vw:0.0818032,vy_off:-1.4,vw_off:-0.0218238,pf:16.6158,preal:16.5306,dy:0.0765895,dy2:0.0765749
vy:-1.35,vw:0.11671,vy_off:-1.35,vw_off:0.0130828,pf:17.1887,preal:16.865,dy:0.143869,dy2:0.144374
vy:-1.3,vw:0.151616,vy_off:-1.3,vw_off:0.0479894,pf:17.1887,preal:17.2993,dy:0.209545,dy2:0.209663
vy:-1.25,vw:0.11671,vy_off:-1.25,vw_off:0.0130828,pf:17.7617,preal:17.6337,dy:0.272375,dy2:0.272458
vy:-1.2,vw:0.126827,vy_off:-1.2,vw_off:0.0231995,pf:17.7617,preal:17.997,dy:0.332607,dy2:0.333074
vy:-1.15,vw:0.0919199,vy_off:-1.15,vw_off:-0.0117071,pf:18.3346,preal:18.2603,dy:0.390505,dy2:0.390484
vy:-1.1,vw:0.122471,vy_off:-1.1,vw_off:0.018844,pf:18.9076,preal:18.6112,dy:0.445357,dy2:0.445775
vy:-1.05,vw:0.157378,vy_off:-1.05,vw_off:0.0537506,pf:18.9076,preal:19.062,dy:0.498487,dy2:0.498679
vy:-1,vw:0.122471,vy_off:-1,vw_off:0.018844,pf:19.4806,preal:19.4129,dy:0.548994,dy2:0.549023
vy:-0.95,vw:0.112568,vy_off:-0.95,vw_off:0.008941,pf:20.0535,preal:19.7354,dy:0.596489,dy2:0.597158
vy:-0.9,vw:0.147475,vy_off:-0.9,vw_off:0.0438476,pf:20.0535,preal:20.1579,dy:0.642374,dy2:0.642431
vy:-0.85,vw:0.112568,vy_off:-0.85,vw_off:0.008941,pf:20.6265,preal:20.4803,dy:0.685294,dy2:0.685456
vy:-0.8,vw:0.131778,vy_off:-0.8,vw_off:0.0281514,pf:20.6265,preal:20.8579,dy:0.725702,dy2:0.726061
vy:-0.75,vw:0.0968718,vy_off:-0.75,vw_off:-0.00675522,pf:21.1994,preal:21.1354,dy:0.763727,dy2:0.763733
vy:-0.7,vw:0.118941,vy_off:-0.7,vw_off:0.0153141,pf:21.7724,preal:21.4761,dy:0.798707,dy2:0.799221
vy:-0.65,vw:0.153848,vy_off:-0.65,vw_off:0.0502207,pf:21.7724,preal:21.9169,dy:0.831965,dy2:0.832099
vy:-0.6,vw:0.118941,vy_off:-0.6,vw_off:0.0153141,pf:22.3454,preal:22.2576,dy:0.862492,dy2:0.862553
vy:-0.55,vw:0.117762,vy_off:-0.55,vw_off:0.0141346,pf:22.3454,preal:22.595,dy:0.890216,dy2:0.890707
vy:-0.5,vw:0.082855,vy_off:-0.5,vw_off:-0.020772,pf:22.9183,preal:22.8323,dy:0.915608,dy2:0.91558
vy:-0.45,vw:0.117762,vy_off:-0.45,vw_off:0.0141346,pf:23.4913,preal:23.1697,dy:0.937832,dy2:0.938245
vy:-0.4,vw:0.152668,vy_off:-0.4,vw_off:0.0490411,pf:23.4913,preal:23.607,dy:0.958387,dy2:0.958548
vy:-0.35,vw:0.117762,vy_off:-0.35,vw_off:0.0141346,pf:24.0642,preal:23.9444,dy:0.976121,dy2:0.976148
vy:-0.3,vw:0.124813,vy_off:-0.3,vw_off:0.0211859,pf:24.6372,preal:24.302,dy:0.990974,dy2:0.991586
vy:-0.25,vw:0.15972,vy_off:-0.25,vw_off:0.0560925,pf:24.6372,preal:24.7595,dy:1.0043,dy2:1.00441
vy:-0.2,vw:0.124813,vy_off:-0.2,vw_off:0.0211859,pf:25.2101,preal:25.1171,dy:1.01481,dy2:1.01488
vy:-0.15,vw:0.117235,vy_off:-0.15,vw_off:0.0136084,pf:25.2101,preal:25.453,dy:1.02255,dy2:1.02301
vy:-0.1,vw:0.0823288,vy_off:-0.1,vw_off:-0.0212982,pf:25.7831,preal:25.6888,dy:1.02791,dy2:1.02788
vy:-0.05,vw:0.117235,vy_off:-0.05,vw_off:0.0136084,pf:26.3561,preal:26.0247,dy:1.0301,dy2:1.03053
vy:3.19189e-16,vw:0.152142,vy_off:3.19189e-16,vw_off:0.048515,pf:26.3561,preal:26.4605,dy:1.03066,dy2:1.0308
vy:0.05,vw:0.117235,vy_off:0.05,vw_off:0.0136084,pf:26.929,preal:26.7964,dy:1.02834,dy2:1.02836
vy:0.1,vw:0.127649,vy_off:0.1,vw_off:0.0240222,pf:27.502,preal:27.1621,dy:1.02317,dy2:1.02378
vy:0.15,vw:0.162556,vy_off:0.15,vw_off:0.0589287,pf:27.502,preal:27.6277,dy:1.0165,dy2:1.01661
vy:0.2,vw:0.127649,vy_off:0.2,vw_off:0.0240222,pf:28.0749,preal:27.9934,dy:1.00704,dy2:1.0071
vy:0.25,vw:0.114024,vy_off:0.25,vw_off:0.0103971,pf:28.0749,preal:28.3201,dy:0.994764,dy2:0.995242
vy:0.3,vw:0.0791175,vy_off:0.3,vw_off:-0.0245095,pf:28.6479,preal:28.5467,dy:0.980114,dy2:0.980081
vy:0.35,vw:0.114024,vy_off:0.35,vw_off:0.0103971,pf:29.2208,preal:28.8734,dy:0.96223,dy2:0.962676
vy:0.4,vw:0.148931,vy_off:0.4,vw_off:0.0453037,pf:29.2208,preal:29.3001,dy:0.942773,dy2:0.942884
vy:0.45,vw:0.114024,vy_off:0.45,vw_off:0.0103971,pf:29.7938,preal:29.6267,dy:0.920319,dy2:0.920356
vy:0.5,vw:0.135767,vy_off:0.5,vw_off:0.0321399,pf:30.3668,preal:30.0157,dy:0.895111,dy2:0.895754
vy:0.55,vw:0.168294,vy_off:0.55,vw_off:0.0646666,pf:30.3668,preal:30.4978,dy:0.868486,dy2:0.868597
vy:0.6,vw:0.133387,vy_off:0.6,vw_off:0.02976,pf:30.9397,preal:30.8799,dy:0.839123,dy2:0.839169
vy:0.65,vw:0.10788,vy_off:0.65,vw_off:0.00425303,pf:30.9397,preal:31.189,dy:0.80685,dy2:0.807322
vy:0.7,vw:0.0729734,vy_off:0.7,vw_off:-0.0306536,pf:31.5127,preal:31.398,dy:0.772193,dy2:0.772165
vy:0.75,vw:0.10788,vy_off:0.75,vw_off:0.00425303,pf:32.0856,preal:31.7071,dy:0.734209,dy2:0.73474
vy:0.8,vw:0.142787,vy_off:0.8,vw_off:0.0391596,pf:32.0856,preal:32.1161,dy:0.694782,dy2:0.69482
vy:0.85,vw:0.10788,vy_off:0.85,vw_off:0.00425303,pf:32.6586,preal:32.4252,dy:0.652112,dy2:0.652204
vy:0.9,vw:0.142787,vy_off:0.9,vw_off:0.0391596,pf:33.2316,preal:32.8342,dy:0.606782,dy2:0.607593
vy:0.95,vw:0.176029,vy_off:0.95,vw_off:0.0724017,pf:33.2316,preal:33.3385,dy:0.560307,dy2:0.560373
vy:1,vw:0.141122,vy_off:1,vw_off:0.0374951,pf:33.8045,preal:33.7428,dy:0.511018,dy2:0.511082
vy:1.05,vw:0.106216,vy_off:1.05,vw_off:0.00258852,pf:33.8045,preal:34.0471,dy:0.458828,dy2:0.459217
vy:1,vw:0.0713089,vy_off:1,vw_off:-0.0323181,pf:34.3775,preal:34.2514,dy:0.409194,dy2:0.409205
vy:0.95,vw:0.106216,vy_off:0.95,vw_off:0.00258852,pf:34.9504,preal:34.5556,dy:0.361245,dy2:0.361948
vy:0.9,vw:0.141122,vy_off:0.9,vw_off:0.0374951,pf:34.9504,preal:34.9599,dy:0.316965,dy2:0.316973
vy:0.85,vw:0.106216,vy_off:0.85,vw_off:0.00258852,pf:35.5234,preal:35.2642,dy:0.274318,dy2:0.274537
vy:0.8,vw:0.141122,vy_off:0.8,vw_off:0.0374951,pf:35.5234,preal:35.6685,dy:0.234657,dy2:0.234917
vy:0.75,vw:0.106216,vy_off:0.75,vw_off:0.00258852,pf:36.0963,preal:35.9728,dy:0.197318,dy2:0.197309
vy:0.7,vw:0.128812,vy_off:0.7,vw_off:0.0251845,pf:36.6693,preal:36.3418,dy:0.162109,dy2:0.162647
vy:0.65,vw:0.163718,vy_off:0.65,vw_off:0.0600911,pf:36.6693,preal:36.8108,dy:0.130378,dy2:0.130517
vy:0.6,vw:0.128812,vy_off:0.6,vw_off:0.0251845,pf:37.2423,preal:37.1798,dy:0.100987,dy2:0.101033
vy:0.55,vw:0.109699,vy_off:0.55,vw_off:0.00607167,pf:37.2423,preal:37.4941,dy:0.0737186,dy2:0.0741931
vy:0.5,vw:0.0747921,vy_off:0.5,vw_off:-0.0288349,pf:37.8152,preal:37.7084,dy:0.0490975,dy2:0.0490818
vy:0.45,vw:0.109699,vy_off:0.45,vw_off:0.00607167,pf:38.3882,preal:38.0226,dy:0.0262057,dy2:0.0267879
vy:0.4,vw:0.144605,vy_off:0.4,vw_off:0.0409783,pf:38.3882,preal:38.4369,dy:0.00686541,dy2:0.00691546
vy:0.35,vw:0.109699,vy_off:0.35,vw_off:0.00607167,pf:38.9611,preal:38.7512,dy:-0.0106237,dy2:-0.010473
vy:0.3,vw:0.144605,vy_off:0.3,vw_off:0.0409783,pf:38.9611,preal:39.1654,dy:-0.0253262,dy2:-0.0249381
vy:0.25,vw:0.109699,vy_off:0.25,vw_off:0.00607167,pf:39.5341,preal:39.4797,dy:-0.0374101,dy2:-0.0374183
vy:0.2,vw:0.113342,vy_off:0.2,vw_off:0.00971512,pf:40.107,preal:39.8044,dy:-0.0475293,dy2:-0.0470452
vy:0.15,vw:0.148249,vy_off:0.15,vw_off:0.0446217,pf:40.107,preal:40.2291,dy:-0.0543496,dy2:-0.0542257
vy:0.1,vw:0.113342,vy_off:0.1,vw_off:0.00971512,pf:40.68,preal:40.5538,dy:-0.0589788,dy2:-0.0588857
vy:0.05,vw:0.127384,vy_off:0.05,vw_off:0.0237573,pf:40.68,preal:40.9187,dy:-0.0612089,dy2:-0.0607608
vy:2.91434e-16,vw:0.0924777,vy_off:2.91434e-16,vw_off:-0.0111493,pf:41.253,preal:41.1836,dy:-0.0607575,dy2:-0.0607661
vy:-0.05,vw:0.121265,vy_off:-0.05,vw_off:0.0176383,pf:41.8259,preal:41.531,dy:-0.0583364,dy2:-0.057856
vy:-0.1,vw:0.156172,vy_off:-0.1,vw_off:0.0525449,pf:41.8259,preal:41.9784,dy:-0.0526068,dy2:-0.0524567
vy:-0.15,vw:0.121265,vy_off:-0.15,vw_off:0.0176383,pf:42.3989,preal:42.3258,dy:-0.0445161,dy2:-0.0444601
vy:-0.2,vw:0.114026,vy_off:-0.2,vw_off:0.0103992,pf:42.3989,preal:42.6525,dy:-0.0342647,dy2:-0.0337961
vy:-0.165489,vw:0.0791196,vy_off:-0.165489,vw_off:-0.0245074,pf:42.9718,preal:42.8792,dy:-0.0255627,dy2:-0.0255718
vy:-0.145603,vw:0.114026,vy_off:-0.145603,vw_off:0.0103992,pf:43.5448,preal:43.2058,dy:-0.0185433,dy2:-0.0179839
vy:-0.115072,vw:0.148933,vy_off:-0.115072,vw_off:0.0453058,pf:43.5448,preal:43.6325,dy:-0.0120854,dy2:-0.0120007
vy:-0.0886579,vw:0.114026,vy_off:-0.0886579,vw_off:0.0103992,pf:44.1178,preal:43.9592,dy:-0.00740997,dy2:-0.00728618
vy:-0.0616832,vw:0.133984,vy_off:-0.0616832,vw_off:0.030357,pf:44.1178,preal:44.343,dy:-0.00402611,dy2:-0.00361237
vy:-0.0311861,vw:0.0990774,vy_off:-0.0311861,vw_off:-0.00454957,pf:44.6907,preal:44.6268,dy:-0.00201685,dy2:-0.00202267
vy:-0.0155426,vw:0.118289,vy_off:-0.0155426,vw_off:0.0146618,pf:45.2637,preal:44.9657,dy:-0.00132069,dy2:-0.000827717
vy:-0.0115368,vw:0.153195,vy_off:-0.0115368,vw_off:0.0495684,pf:45.2637,preal:45.4046,dy:-1.77521e-05,dy2:0.000118005
vy:0.00300017,vw:0.118289,vy_off:0.00300017,vw_off:0.0146618,pf:45.8366,preal:45.7434,dy:0.000349163,dy2:0.000422015
vy:0.00335897,vw:0.119081,vy_off:0.00335897,vw_off:0.0154537,pf:45.8366,preal:46.0846,dy:0.000447923,dy2:0.000903224
vy:0.00444548,vw:0.0841741,vy_off:0.00444548,vw_off:-0.0194529,pf:46.4096,preal:46.3257,dy:0.000666962,dy2:0.000659335
vy:0.00677424,vw:0.119081,vy_off:0.00677424,vw_off:0.0154537,pf:46.9825,preal:46.6669,dy:0.000169831,dy2:0.000692044
vy:0.000153353,vw:0.153987,vy_off:0.000153353,vw_off:0.0503603,pf:46.9825,preal:47.108,dy:0.000891931,dy2:0.00101285
vy:0.0106724,vw:0.119081,vy_off:0.0106724,vw_off:0.0154537,pf:47.5555,preal:47.4491,dy:0.000815479,dy2:0.000898584
vy:0.00682399,vw:0.121621,vy_off:0.00682399,vw_off:0.017994,pf:47.5555,preal:47.7976,dy:0.000746534,dy2:0.00119112
vy:0.00706767,vw:0.0867144,vy_off:0.00706767,vw_off:-0.0169126,pf:48.1285,preal:48.046,dy:0.000827043,dy2:0.000819504
vy:0.00796697,vw:0.121621,vy_off:0.00796697,vw_off:0.017994,pf:48.7014,preal:48.3944,dy:0.000307256,dy2:0.000814987
vy:0.00147208,vw:0.156528,vy_off:0.00147208,vw_off:0.0529006,pf:48.7014,preal:48.8428,dy:0.000975241,dy2:0.00111159
vy:0.0113059,vw:0.121621,vy_off:0.0113059,vw_off:0.017994,pf:49.2744,preal:49.1912,dy:0.000961237,dy2:0.00102615
vy:0.00839858,vw:0.116045,vy_off:0.00839858,vw_off:0.0124179,pf:49.2744,preal:49.5237,dy:0.000800908,dy2:0.00125893
vy:0.00728229,vw:0.0811384,vy_off:0.00728229,vw_off:-0.0224886,pf:49.8473,preal:49.7561,dy:0.000861815,dy2:0.00085343
vy:0.00832492,vw:0.116045,vy_off:0.00832492,vw_off:0.0124179,pf:50.4203,preal:50.0886,dy:0.000217629,dy2:0.000766041
vy:0.000295646,vw:0.150952,vy_off:0.000295646,vw_off:0.0473245,pf:50.4203,preal:50.521,dy:0.000917793,dy2:0.00101498
vy:0.0109435,vw:0.116045,vy_off:0.0109435,vw_off:0.0124179,pf:50.9932,preal:50.8535,dy:0.00068996,dy2:0.00079905
vy:0.00524058,vw:0.129477,vy_off:0.00524058,vw_off:0.0258495,pf:50.9932,preal:51.2244,dy:0.000717401,dy2:0.00114215
vy:0.00715871,vw:0.0945699,vy_off:0.00715871,vw_off:-0.00905706,pf:51.5662,preal:51.4953,dy:0.000802264,dy2:0.000795713
vy:0.00764394,vw:0.121014,vy_off:0.00764394,vw_off:0.0173872,pf:52.1392,preal:51.842,dy:0.000341368,dy2:0.000832534
